Type;Reference;DOI
Literature;Mulloy, B., Ribeiro, A., Alves, A., Vieira, R. & Mourão, P. Sulfated Fucans From Echinoderms Have A Regular Tetrasaccharide Repeating Unit Defined By Specific Patterns Of Sulfation At The 0-2 And 0-4 Positions.  Jour. Biol. Chem. 2, 22133-23. (1994);
Literature;Brennan, G., Kregting, L., Beatty, G., Cole, C., Elsäßer, B., Savidge, G. & Provan, J. Understanding Macroalgal Dispersal In A Complex Hydrodynamic Environment: A Combined Population Genetic And Physical Modelling Approach. J. R. Soc. Interface 11: 95, 20140197 (2014) ;10.1098/rsif.2014.0197
Literature;Robuchon, M., Le Gall, L., Mauger, S. & Valero, M. Contrasting Genetic Diversity Patterns In Two Sister Kelp Species Co-distributed Along The Coast Of Brittany, France. Mol. Ecol. 23: 11, 2669-2685 (2014) ;10.1111/mec.12774
Literature;Valero M., Destombe C., Mauger S., Ribout C., Engel C. R., Daguin-Thiebaut C. & Tellier F.  Using Genetic Tools For Sustainable Management Of Kelps: A Literature Review And The Example Of Laminaria Digitata. Cah Biol Mar, 4 467-483 (2011);
Literature;Evankow A. M.  Genetics Of Norwegian Kelp Forests: Microsatellites Reveal The Genetic Diversity, Differentiation, And Structure Of Two Foundation Kelp Species In Norway. Master Thesis, University Of Oslo (2015);
Literature;Izquierdo, J.L., Navarro, M.J. & Gallardo, T. Mapas de distribución de algas marinas de la Península Ibérica. IV. Laminaria ochroleuca Pylaie, L. hyperborea (Gunner) Foslie y L. saccharina (L.) Lamour. (Laminariales, Fucophyceae). Bot. Complutensis 18, 291-304 (1993).;10.5209/rev_bocm.2011.v35.16
Literature;Pérez-Ruzafa, I., Izquierdo, J. L., Araújo, R., Sousa-pinto, I. & Pereira, L., Bárbara I. Distribution Maps Of Marine Algae From The Iberian Peninsula And The Balearic Islands. Xvii. Laminaria Rodriguezii Bornet And Aditions To The Distribution Maps Of L. hyperborea (gunner.) Foslie, L. ochroleuca Bach. Pyl. And L. saccharina (l.) Lamour. Bot. Compl., 27, 155–164. (2003);
Literature;Rinde, E., Christie, H., Fagerli, C., Bekkby, T., Gundersen, H., Norderhaug, K. & Hjermann, D. The Influence Of Physical Factors On Kelp And Sea Urchin Distribution In Previously And Still Grazed Areas In The Ne Atlantic. PLoS ONE 9: 6, e100222 (2014) ;10.1371/journal.pone.0100222
Literature;Schoschina, E. & Schoschina, E. Onlaminaria Hyperborea(laminariales, Phaeophyceae) On The Murman Coast Of The Barents Sea. Sarsia 82: 4, 371-373 (2016) ;10.1080/00364827.1997.10413663
Literature;Sjtun, K., Fredriksen, S., Lein, T., Rueness, J. & Sivertsen, K. Population Studies Of Laminaria Hyperborea From Its Northern Range Of Distribution In Norway. Hydrobiologia 260-261: 1, 215-221 (2004) ;10.1007f00049022
Literature;Benhissoune, S., Boudouresque, C. & Verlaque, M. A Checklist Of The Seaweeds Of The Mediterranean And Atlantic Coasts Of Morocco. Ii. Phaeophyceae. Bot. Mar. 45: 3, 217-230 (2004) ;10.1515ot.2002.021
Literature;Assis, J., Serrão, E., Coelho, N., Tempera, F., Valero, M. & Alberto, F. Past Climate Changes And Strong Oceanographic Barriers Structured Low‐latitude Genetic Relics For The Golden Kelp Laminaria Ochroleuca. J. Biogeogr. 45: 10, 2326-2336 (2018) ;10.1111/jbi.13425
Literature;Braud, J. Etude De Quelques Parametres Ecologiques, Biologiques Et Biochimiques Chez Une Pheophycee Des Cotes Bretonnes Laminaria Ochroleuca. Revue Des Travaux De L’institut Des Pêches Maritimes. (1974);
Literature;Lawson, G. & Price, J. Seaweeds Of The Western Coast Of Tropical Africa And Adjacent Islands: A Critical Assessment. I. Chlorophyta And Xanthophyta. Bot. J. Linn. Soc. 62: 3, 279-346 (2008) ;10.1111/j.1095-8339.1969.tb01971.x
Literature;Rothman, M., Anderson, R., Bolton, J., Boothroyd, C. & Kemp, F. A Simple Method For Rapid Estimation Ofecklonia Maximaandlaminaria Pallidabiomass Using Floating Surface Quadrats. Afr. J. Mar. Sci. 32: 1, 137-143 (2010) ;10.2989/18142321003714906
Literature;Anderson, R. & Velimirov, B. An Experimental Investigation Of The Palatability Of Kelp Bed Algae To The Sea Urchin Parechinus Angulosus Leske. Mar. Ecol. Prog. Ser. 3: 4, 357-373 (2008) ;10.1111/j.1439-0485.1982.tb00284.x
Literature;Dieckmann, G. S. Aspects Of Growth And Production Of Laminaria Pallida, Master Thesis, University Of Cape Town. (1978);
Literature;Day, R. & Cook, P. Bias Towards Brown Algae In Determining Diet And Food Preferences: The South African Abalone Haliotis Midae. Mar. Freshwater Res. 46: 3, 623 (2005) ;10.1071/mf9950623
Literature;Soares, A., Schlacher, T. & Mclachlan, A. Carbon And Nitrogen Exchange Between Sandy Beach Clams ( Donax Serra ) And Kelp Beds In The Benguela Coastal Upwelling Region. Mar. Biol. 127: 4, 657-664 (2002) ;10.1007/s002270050056
Literature;Hay, C., Hodgson, V., Scott, G. & Miller, J. Colorimetric Determination Of The Algin Content Of Three South African Kelp Seaweeds (ecklonia Maxima, Laminaria Pallidaandmacrocystis Angustifolia). Transactions of the Royal Society of South Africa 45: 1, 73-89 (2010) ;10.1080/00359198309520096
Literature;Mazure, H. & Field, J. Density And Ecological Importance Of Bacteria On Kelp Fronds In An Upwelling Region. J. Exp. Mar. Biol. Ecol. 43: 2, 173-182 (2003) ;10.1016/0022-0981(80)90024-6
Literature;Tugwell, S. & Branch, G. Differential Polyphenolic Distribution Among Tissues In The Kelps Ecklonia Maxima, Laminaria Pallida And Macrocystis Angustifolia In Relation To Plant-defence Theory. J. Exp. Mar. Biol. Ecol. 129: 3, 219-230 (2003) ;10.1016/0022-0981(89)90104-4
Literature;Newell, R., Field, J. & Griffiths, C. Energy Balance And Significance Of Microorganisms In A Kelp Bed Community. Mar. Ecol. Prog. Ser. 8: 103-113 (2007) ;10.3354/meps008103
Literature;Woodborne, M., Rogers, J. & Jarman, N. The Geological Significance Of Kelp-rafted Rock Along The West Coast Of South Africa. Geo-Mar. Lett. 9: 2, 109-118 (2006) ;10.1007f02430432
Literature;Newman, G. & Pollock, D. Growth Of The Rock Lobster Jasus Lalandii And Its Relationship To Benthos. Mar. Biol. 24: 4, 339-346 (2004) ;10.1007f00396100
Literature;Lucas, M., Newell, R. & Velimirov, B. Heterotrophic Utilisation Of Mucilage Released During Fragmentation Of Kelp (ecklonia Maxima And Laminana Pallida) Ii. Differential Utilisation Of Dissolved Organic Components From Kelp Mucilage. Mar. Ecol. Prog. Ser. 4: 43-55 (2007) ;10.3354/meps004043
Literature;Linley, E., Newell, R. & Bosma, S. Heterotrophic Utilisation Of Mucilage Released During Fragmentation Of Kelp (ecklonia Maxima And Laminana Pallida). I. Development Of Microbial Communities Associated With The Degradation Of Kelp Mucilage. Mar. Ecol. Prog. Ser. 4: 31-41 (2007) ;10.3354/meps004031
Literature;Anderson, R., Carrick, P., Levitt, G. & Share, A. Holdfasts Of Adult Kelp Ecklonia Maxima Provide Refuges From Grazing For Recruitment Of Juvenile Kelps. Mar. Ecol. Prog. Ser. 159: 265-273 (2007) ;10.3354/meps159265
Literature;Shafir, A. & Field, J. Importance Of A Small Carnivorous Isopod In Energy Transfer. Mar. Ecol. Prog. Ser. 3: 203-215 (2007) ;10.3354/meps003203
Literature;Wulff, F. & Field, J. Importance Of Different Trophic Pathways In A Nearshore Benthic Community Under Upwelling And Downwelling Conditions. Mar. Ecol. Prog. Ser. 12: 217-228 (2007) ;10.3354/meps012217
Literature;Pollock, D. & Pollock, D. Predator-prey Relationships Between The Rock Lobster Jasus Lalandii And The Mussel Aulacomya Ater At Robben Island On The Cape West Coast Of Africa. Mar. Biol. 52: 4, 347-356 (2004) ;10.1007f00389076
Literature;Benet, H., Ar Gall, E., Asensi, A. & Kloareg, B. Protoplast Regeneration From Gametophytes And Sporophytes Of Some Species In The Order Laminariales (phaeophyceae). Protoplasma 199: 1-2, 39-48 (2007) ;10.1007f02539804
Literature;Newell, R., Lucas, M., Velirnirov, B. & Seiderer, L. Quantitative Significance Of Dissolved Organic Losses Following Fragmentation Of Kelp (ecklonia Maxima And Laminaria Pallida). Mar. Ecol. Prog. Ser. 2: 45-59 (2007) ;10.3354/meps002045
Literature;Anderson, R. & Hay, C. Seasonal Production Of Desmarestia Firma (c. Ag.) Skottsb. (phaeophyceae, Desmarestiales) In A Kelp Bed On The West Coast Of The Cape Peninsula, South Africa. Bot. Mar. 29: 6,  (2009) ;10.1515otm.1986.29.6.523
Literature;Boney, A. & Luning, K. Seaweed., Their Environment, Biogeography And Ecophysiology.. The Journal of Ecology 79: 2, 563 (2006) ;10.2307/2260740
Literature;Wanless, R., Scott, S., Sauer, W., Andrew, T., Glass, J., Godfrey, B., Griffiths, C. & Yeld, E. Semi-submersible Rigs: A Vector Transporting Entire Marine Communities Around The World. Biol. Invasions 12: 8, 2573-2583 (2009) ;10.1007/s10530-009-9666-2
Literature;Torn Dieck, I. & Torn Dieck, I. Temperature Tolerance And Survival In Darkness Of Kelp Gametophyles (laminariales, Phaeophyta): Ecological And Biogeographical Implications. Mar. Ecol. Prog. Ser. 100: 253-264 (2007) ;10.3354/meps100253
Literature;Blamey, L., Branch, G. & Reaugh-flower, K. Temporal Changes In Kelp Forest Benthic Communities Following An Invasion By The Rock Lobsterjasus Lalandii. Afr. J. Mar. Sci. 32: 3, 481-490 (2010) ;10.2989/1814232x.2010.538138
Literature;Simons, R. & Simons, R. The Algal Flora Of Saldanha Bay. Transactions of the Royal Society of South Africa 42: 3-4, 461-482 (2010) ;10.1080/00359197709519927
Literature;Day, J. The Biology Of Langebaan Lagoon: A Study Of The Effect Of Shelter From Wave Action. Transactions of the Royal Society of South Africa 35: 5, 475-547 (2010) ;10.1080/00359195909519025
Literature;Velimirov, B., Field, J., Griffiths, C. & Zoutendyk, P. The Ecology Of Kelp Bed Communities In The Benguela Upwelling System. Helgoländer Wissenschaftliche Meeresuntersuchungen 30: 1-4, 495-518 (2005) ;10.1007f02207857
Literature;Levitt, G., Anderson, R., Boothroyd, C. & Kemp, F. The Effects Of Kelp Harvesting On Its Regrowth And The Understorey Benthic Community At Danger Point, South Africa, And A New Method Of Harvesting Kelp Fronds. S. Afr. J. Marine Sci. 24: 1, 71-85 (2011) ;10.2989/025776102784528501
Literature;Stenton-Dozey, J. & Griffiths C. The Fauna Associated with Kelp Stranded on a Sandy Beach. In: McLachlan A., Erasmus T. (eds) Sandy Beaches as Ecosystems. Developments in Hydrobiology, vol 19. Springer, Dordrecht. (1983);
Literature;Koop, K. & Field, J. The Influence Of Food Availability On Population Dynamics Of A Supralittoral Isopod, Ligia Dilatata Brandt. J. Exp. Mar. Biol. Ecol. 48: 1, 61-72 (2003) ;10.1016/0022-0981(80)90007-6
Literature;Simons, R. H. & Isaac W. E. The Marine Algal Flora Of Namibia: Its Distribution And Affinities. Bull. Br. Mus. Not. Hist. 20, 153-168. (1990);
Literature;Field, J., Griffiths, C., Griffiths, R., Jarman, N., Zoutendyk, P., Velimirov, B. & Bowes, A. Variation In Structure And Biomass Of Kelp Communities Along The South-west Cape Coast. Transactions of the Royal Society of South Africa 44: 2, 145-203 (2010) ;10.1080/00359198009520561
Literature;Mathieson, A., Moore, G. & Short, F. A Floristic Comparison Of Seaweeds From James Bay And Three Contiguous Northeastern Canadian Arctic Sites. Rhodora 112: 952, 396-434 (2011) ;10.3119/09-12.1
Literature;Shtrik, V. The Changes Of Marine Algae Flora And Phytocenosises Of Barents Sea (Russian Coast) As The Indicator Of Climatic Fluctuations Of North Atlantic Region. Ices. 29. (2005);
Literature;González, A., Borras-chavez, R., Beltrán, J., Flores, V., Vásquez, J. & Santelices, B. Morphological, Ultrastructural, And Genetic Characterization Of Coalescence In The Intertidal And Shallow Subtidal Kelps Lessonia Spicata And L. Berteroana (laminariales, Heterokontophyta). J. Appl. Phycol. 26: 2, 1107-1113 (2013) ;10.1007/s10811-013-0112-6
Literature;Segovia, N., Vásquez, J., Faugeron, S. & Haye, P. On The Advantage Of Sharing A Holdfast: Effects Of Density And Occurrence Of Kin Aggregation In The Kelp Lessonia Berteroana. Mar. Ecol. Prog. Ser. 36: 4, 1107-1117 (2014) ;10.1111/maec.12206
Literature;Ramirez, M. E. & Santelices B. Catálogo De Las Algas Marinas Bentónicas De La Costa Temperada Del Pacífico De Sudamérica. Facultad De Ciencias Biológicas, Pontificia Universidad Católica De Chile. (1991);
Literature;Faugeron, S., Martínez, E., Correa, J. & Billot, C. Long-term Copper Mine Waste Disposal In Northern Chile Associated With Gene Flow Disruption Of The Intertidal Kelp Lessonia Nigrescens. Mar. Ecol. Prog. Ser. 288: 129-140 (2007) ;10.3354/meps288129
Literature;González, A., Beltrán, J., Hiriart-bertrand, L., Flores, V., De Reviers, B., Correa, J. & Santelices, B. Identification Of Cryptic Species In Thelessonia Nigrescenscomplex (phaeophyceae, Laminariales)1. J. Phycol. 48: 5, 1153-1165 (2012) ;10.1111/j.1529-8817.2012.01200.x
Literature;Martinez, E., Cardenas, L. & Pinto, R. Recovery And Genetic Diversity Of The Intertidal Kelp Lessonia Nigrescens (phaeophyceae) 20 Years After El Nino 1982/831. J. Phycol. 39: 3, 504-508 (2003) ;10.1046/j.1529-8817.2003.02191.x
Literature;Oppliger, L., Correa, J. & Peters, A. Parthenogenesis In The Brown Algalessonia Nigrescens(laminariales, Phaeophyceae) From Central Chile1*. J. Phycol. 43: 6, 1295-1301 (2008) ;10.1111/j.1529-8817.2007.00408.x
Literature;Tala, F. & Edding, M. Growth And Loss Of Distal Tissue In Blades Of Lessonia Nigrescens And Lessonia Trabeculata (laminariales). Aquat. Bot. 82: 1, 39-54 (2005) ;10.1016/j.aquabot.2005.02.009
Literature;Vega, J., Broitman, B. & Vásquez, J. Monitoring The Sustainability Of Lessonia Nigrescens (laminariales, Phaeophyceae) In Northern Chile Under Strong Harvest Pressure. J. Appl. Phycol. 26: 2, 791-801 (2013) ;10.1007/s10811-013-0167-4
Literature;Aguilera, M., Valdivia, N. & Broitman, B. Herbivore-alga Interaction Strength Influences Spatial Heterogeneity In A Kelp-dominated Intertidal Community. PLOS ONE 10: 9, e0137287 (2015) ;10.1371/journal.pone.0137287
Literature;Flores-molina, M., Thomas, D., Lovazzano, C., Núñez, A., Zapata, J., Kumar, M., Correa, J. & Contreras-porcia, L. Desiccation Stress In Intertidal Seaweeds: Effects On Morphology, Antioxidant Responses And Photosynthetic Performance. Aquat. Bot. 113: 90-99 (2013) ;10.1016/j.aquabot.2013.11.004
Literature;Gómez, I., Español, S., Véliz, K. & Huovinen, P. Spatial Distribution Of Phlorotannins And Its Relationship With Photosynthetic Uv Tolerance And Allocation Of Storage Carbohydrates In Blades Of The Kelp Lessonia Spicata. Mar. Biol. 163: 5,  (2016) ;10.1007/s00227-016-2891-1
Literature;Guajardo, E., Correa, J. & Contreras-porcia, L. Role Of Abscisic Acid (aba) In Activating Antioxidant Tolerance Responses To Desiccation Stress In Intertidal Seaweed Species. Planta 243: 3, 767-781 (2015) ;10.1007/s00425-015-2438-6
Literature;Ortega, K., Sáez, C. & Macaya, E. Changes In Invertebrate Assemblages Inhabiting Lessonia Spicata (phaeophyceae) Holdfasts After The 2010 Earthquake-mediated Coastal Uplift In Chile. Revista de biología marina y oceanografía 49: 1, 129-134 (2014) ;10.4067/s0718-19572014000100014
Literature;Poore, A., Gutow, L., F. Pantoja, J., Tala, F., Jofré Madariaga, D. & Thiel, M. Major Consequences Of Minor Damage: Impacts Of Small Grazers On Fast-growing Kelps. Oecologia 174: 3, 789-801 (2013) ;10.1007/s00442-013-2795-4
Literature;Almanza, V. & Buschmann, A. The Ecological Importance Of Macrocystis Pyrifera (phaeophyta) Forests Towards A Sustainable Management And Exploitation Of Chilean Coastal Benthic Co-management Areas. International Journal of Environment and Sustainable Development 12: 4, 341 (2013) ;10.1504/ijesd.2013.056331
Literature;Jofré Madariaga, D., Ortiz, M. & Thiel, M. Demography And Feeding Behavior Of The Kelp Crabtaliepus Marginatusin Subtidal Habitats Dominated By The Kelpsmacrocystis Pyriferaorlessonia Trabeculata. Invertebr. Biol. 132: 2, 133-144 (2013) ;10.1111/ivb.12021
Literature;Perreault, M., Borgeaud, I. & Gaymer, C. Impact Of Grazing By The Sea Urchin Tetrapygus Niger On The Kelp Lessonia Trabeculata In Northern Chile. J. Exp. Mar. Biol. Ecol. 453: 22-27 (2014) ;10.1016/j.jembe.2013.12.021
Literature;Tala, F., Edding, M. & Vásquez, J. Aspects Of The Reproductive Phenology Oflessonia Trabeculata(laminariales: Phaeophyceae) From Three Populations In Northern Chile. N.Z. J. Mar. Freshwater Res. 38: 2, 255-266 (2010) ;10.1080/00288330.2004.9517235
Literature;Vásquez, J., Vega, J. & Buschmann, A. Long Term Variability In The Structure Of Kelp Communities In Northern Chile And The 1997–98 Enso. J. Appl. Phycol. 18: 3-5, 505-519 (2006) ;10.1007/s10811-006-9056-4
Literature;Villegas, M., Laudien, J., Sielfeld, W. & Arntz, W. Macrocystis Integrifolia And Lessonia Trabeculata (laminariale., Phaeophyceae) Kelp Habitat Structures And Associated Macrobenthic Community Off Northern Chile. Helgoland Mar. Res. 62: S1, 33-43 (2007) ;10.1007/s10152-007-0096-1
Literature;Adami, M. & Gordillo, S. Structure And Dynamics Of The Biota Associated With <i>macrocystis Pyrifera</i> (phaeophyta) From The Beagle Channel, Tierra Del Fuego. Sci. Mar. 63: S1, 183-191 (2008) ;10.3989/scimar.1999.63s1183
Literature;Alvítez-Izquierdo, E., Rodríguez-Rodríguez E. Diversidad, Taxonomía, Ecología De Las Phaeophyceae Del Litoral Peruano. Rebiol, 25,15-30. (2005);
Literature;Belsher, T., Mouchot M. C. Evaluation, Par Télédétection Satellitaire, Des Stocks De Macrocystis Pyrifera Dans Le Golfe Du Morbihan (archipel De Kerguelen). Ocean. Ac., 15, 297–307. (1992);https://archimer.ifremer.fr/doc/00100/21163/
Literature;Borras-chavez, R., Edwards, M. & Vásquez, J. Testing Sustainable Management In Northern Chile: Harvesting Macrocystis Pyrifera (phaeophyceae, Laminariales). A Case Study. J. Appl. Phycol. 24: 6, 1655-1665 (2012) ;10.1007/s10811-012-9829-x
Literature;Casas-Valdez, M. & Serviere-Zaragoza, E. Effect Of Climatic Change On The Harvest Of Kelp Macrocystis Pyrifera On The Mexican Pacific Coast.Bulletin Of Marine Science, 53, 545-556. (2003);
Literature;Cavanaugh, K., Kendall, B., Siegel, D., Reed, D., Alberto, F. & Assis, J. Synchrony In Dynamics Of Giant Kelp Forests Is Driven By Both Local Recruitment And Regional Environmental Controls. Ecology 94: 2, 499-509 (2013) ;10.1890/12-0268.1
Literature;Cavanaugh, K., Siegel, D., Reed, D. & Dennison, P. Environmental Controls Of Giant-kelp Biomass In The Santa Barbara Channel, California. Mar. Ecol. Prog. Ser. 429: 1-17 (2011) ;10.3354/meps09141
Literature;Coyer, J., Smith, G. & Andersen, R. Evolution Of Macrocystis Spp. (phaeophyceae) As Determined By Its1 And Its2 Sequences1,. J. Phycol. 37: 4, 574-585 (2003) ;10.1046/j.1529-8817.2001.037001574.x
Literature;Dayton, P. & Dayton, P. The Structure And Regulation Of Some South American Kelp Communities. Ecol. Monogr. 55: 4, 447-468 (2006) ;10.2307/2937131
Literature;Delille, B., Borges, A. & Delille, D. Influence Of Giant Kelp Beds (macrocystis Pyrifera) On Diel Cycles Of Pco2 And Dic In The Sub-antarctic Coastal Area. Estuarine Coastal Shelf Sci. 81: 1, 114-122 (2008) ;10.1016/j.ecss.2008.10.004
Literature;Flukes, E., Johnson, C. & Wright J. Ecophysiology Of Three Habitat-forming Seaweeds Across A Depth And Latitudinal Gradient In Southeastern Australia, University Of Tasmania. (2015);
Literature;Gutierrez, A., Correa, T., Muñoz, V., Santibañez, A., Marcos, R., Cáceres, C. & Buschmann A. H. Farming Of The Giant Kelp Macrocystis Pyrifera In Southern Chile For Development Of Novel Food Products. Journal of Applied Phycology, 18, 3-5, 259-267 (2006);https://doi.org/10.1007/s10811-006-9025-y
Literature;Grua, P. Sur La Structure Des Peuplements De Macrocystis Pyrifera (l.) C. Ag. Observés En Plongée À Kerguelen Et Crozet. Comptes Rendus Hebdomadaires Des Séances De L’académie Des Sciences Paris. 259, 1541-1543. (1964);
Literature;Gutierrez, A., Correa, T., Muñoz, V., Santibañez, A., Marcos, R., Cáceres, C. & Buschmann, A. Farming Of The Giant Kelp Macrocystis Pyrifera In Southern Chile For Development Of Novel Food Products. J. Appl. Phycol. 18: 3-5, 259-267 (2006) ;10.1007/s10811-006-9025-y
Literature;Henríquez, L., Buschmann, A., Maldonado, M., Graham, M., Hernández-gonzález, M., Pereda, S. & Bobadilla, M. Grazing On Giant Kelp Microscopic Phases And The Recruitment Success Of Annual Populations Of Macrocystis Pyrifera (laminariales, Phaeophyta) In Southern Chile1. J. Phycol. 47: 2, 252-258 (2011) ;10.1111/j.1529-8817.2010.00955.x
Literature;Johansson, M., Alberto, F., Reed, D., Raimondi, P., Coelho, N., Young, M., Drake, P., Edwards, C., Cavanaugh, K., Assis, J., Ladah, L., Bell, T., Coyer, J., Siegel, D. & Serrão, E. Seascape Drivers Ofmacrocystis Pyriferapopulation Genetic Structure In The Northeast Pacific. Mol. Ecol. 24: 19, 4866-4885 (2015) ;10.1111/mec.13371
Literature;Leal, P., Hurd, C. & Roleda, M. Meiospores Produced In Sori Of Nonsporophyllous Laminae Ofmacrocystis Pyrifera(laminariales, Phaeophyceae) May Enhance Reproductive Output. J. Phycol. 50: 2, 400-405 (2014) ;10.1111/jpy.12159
Literature;Llaña, A. Primera Expedición Antártica Chilena. Algas Marinas (Chlorophyceae , Phaeophyceae). Rev. Biol. Mar., 1, 19-30 (1948);
Literature;Lleellish, M., Fernández, E., Hooker, Y. Disturbancia Del Bosque Submareal De Macrocystis Pyrifera Durante El Niño 1997-1998 En La Bahía De Pucusana. In: Sustentabilidad de la biodiversidad un problema actual: bases científico-técnicas, teorizaciones y proyecciones,  331–350 (2001);10.13140/RG.2.1.4609.4248
Literature;Macaya, E. & Zuccarello, G. Dna Barcoding And Genetic Divergence In The Giant Kelp Macrocystis (laminariales)1. J. Phycol. 46: 4, 736-742 (2010) ;10.1111/j.1529-8817.2010.00845.x
Literature;Macaya, E., Boltana, S., Hinojosa, I., Macchiavello, J., Valdivia, N., Vasquez, N., Buschmann, A., Vasquez, J., Alonso Vega, J. & Thiel, M. Presence Of Sporophylls In Floating Kelp Rafts Of Macrocystis Spp. (phaeophyceae) Along The Chilean Pacific Coast1.. J. Phycol. 41: 5, 913-922 (2005) ;10.1111/j.1529-8817.2005.00118.x
Literature;Macaya, E. & Zuccarello, G. Genetic Structure Of The Giant Kelp Macrocystis Pyrifera Along The Southeastern Pacific. Mar. Ecol. Prog. Ser. 420: 103-112 (2010) ;10.3354/meps08893
Literature;Moreno, C. & Jara, H. Ecological Studies On Fish Fauna Associated With Macrocystis Pyrifera Belts In The South Of Fueguian Islands, Chile. Mar. Ecol. Prog. Ser. 15: 99-107 (2007) ;10.3354/meps015099
Literature;Reed, D., Rassweiler, A., Carr, M., Cavanaugh, K., Malone, D. & Siegel, D. Wave Disturbance Overwhelms Top-down And Bottom-up Control Of Primary Production In California Kelp Forests. Ecology 92: 11, 2108-2116 (2011) ;10.1890/11-0377.1
Literature;Sanderson, J. Restoration Of String Kelp (macrocystispyrifera) Habitat On Tasmania’s East And South Coasts. Natural Heritage Trust For Seacare, Final Report. (2003);
Literature;Santelices, B. & Ojeda, F. Effects Of Canopy Removal On The Understory Algal Community Structure Of Coastal Forests Of Macrocystis Pyrifera From Southern South America. Mar. Ecol. Prog. Ser. 14: 165-173 (2007) ;10.3354/meps014165
Literature;Schiel, D., Andrew, N. & Foster, M. The Structure Of Subtidal Algal And Invertebrate Assemblages At The Chatham Islands, New Zealand. Mar. Biol. 123: 2, 355-367 (2004) ;10.1007f00353627
Literature;Shears, N. T., Babcock, R. C. Quantitative Description Mainland New Zealand’s Shallow Subtidal Reef Communities. Science For Conservation, 280. (2007);
Literature;Torrusio, S. E. Mapping Marine Macrophytes Along The Atlantic Coast Of Tierra Del Fuego (Argentina). Lecture Notes in Geoinformation and Cartography. Springer, Berlin, Heidelberg Pp. 279–293. (2009);
Literature;Vasquez, J. A, Camus, P. A. & Patricio, F. Diversity, Structure And Functioning Of Rocky Coastal Ecosystems In Northern Chile.  Revista Chilena De Historia Natural, 71, 479–499. (1998);
Literature;Westermeier, R. & Möller, P. Population Dynamics Of Macrocystis Pyrifera (l.) C. Agardh In The Rocky Intertidal Of Southern Chile. Bot. Mar. 33: 4,  (2009) ;10.1515otm.1990.33.4.363
Literature;Anadón, R. & Niell, N. F. Distribución Longitudinal De Macrofitos En La Costa Asturiana (n De España).  Investigación Pesquera, 45, 143-156. (1980);
Literature;Artica M. I. Características Biogeográficas Del Litoral De La Costa Vasca. Lurralde: Investigación Y Espacio. 1, 121-127 (1978);
Literature;Barrilé A. L., Harin, N., Sauriau, P. G., Truhaud, N. & Oger-Jeanneret, H. Mise En Place De La DCE Dans Les Masses Deau Côtières Des Pays De La Loire - Prospection De La Flore Et De La Faune Benthiques Et Proposition Dun Réseau De Surveillance. CONVENTION IFREMER/AELB N° 0320060592 (2007);
Literature;Christensen, G.N., Dahl-Hansen, G. A. P., Gaardsted, F., Leikvin, O., Palerud, R., Velvin, R. & Vogele, B. Marin GrunnlagsundersÃ¸kelse I Repparfjorden, Finnmark 2010 - 2011. Akvaplan-niva Rapport Nr 4973-01 (2011);
Literature;Lamela-silvarrey, C., Fernández, C., Anadón, R. & Arrontes, J. Fucoid Assemblages On The North Coast Of Spain: Past And Present (1977–2007). Bot. Mar. 55: 3,  (2012) ;10.1515ot-2011-0081
Literature;Bon, M. Agaricales Rares Ou Nouvelles Pour La Région Du Velay Et Ses Environs. Bull. Mens. Soc. Linn. Lyon 44: 6, 165-181 (1975) ;10.3406/linly.1975.10188
Literature;Eilertsen, M. Marine Granskingar 2011 Med Kartlegging Av Biologisk Mangfald I Samband Med E39 Valsøya-klettelva, Halsa Kommune. Rådgivende Biologer. N1482 (2011);
Literature;Fernández-Montero, I., Pérez-Ruzafa, L., Cubero, M. & Gallardo, T. Catálogo De La Flora Bentónica Marina De La Ría Tina Menor Y Costa De Pechón (Cantabria). Bot. Complut., 22, 83-100 (1988);
Literature;Gall, E. A. & Duff, M. L. Contrôle De Surveillance Dce 2010- Suivi De La Flore Benthique. Institut Universitaire Européen De La Mer – Université De Bretagne Occidentale, Technical Report (2010) ;
Literature;Gall, E. A. & Duff, L. E. Lieux De Surveillance Du Benthos Région Bretagne, Suivi Stationnel Des Roches Intertidales (Flore). Institut Universitaire Européen De La Mer – Université De Bretagne Occidentale, Technical Report (2007);
Literature;Guérin, L., Le Mao, P. & Desroy, N. Contrôle De Surveillance Benthique De La Directive Cadre Sur Leau: État Des Lieux Et Propositions, District Seine-normandie. Ifremer, Direction Des Opérations, Laboratoire Environnement Ressources De Saint-Malo, Technical Report (2007);
Literature;Konovalova, A. Fungi Associated With Algae Ascophyllum Nodosum(l.) Lejolis And Pelvetia Canaliculata(l.) Dcne. & Thur. In Kandalaksha Bay Of The White Sea. Dissertation For The Degree Of Biological Sciences. Faculty Of Biology, Moscow State University (2008);
Literature;Lee, Y., Yoon, H., Motomura, T., Kim, Y. & Boo, S. Phylogenetic Relationships Between Pelvetia And Pelvetiopsis (fucaceae, Phaeophyta) Inferred From Sequences Of The Rubisco Spacer Region. Eur. J. Phycol. 34: 3, 205-211 (2002) ;10.1017/s0967026299002243
Literature;Lima, F., Ribeiro, P., Queiroz, N., Hawkins, S. & Santos, A. Do Distributional Shifts Of Northern And Southern Species Of Algae Match The Warming Pattern?. Glob. Chang. Biol. 13: 12, 2592-2604 (2007) ;10.1111/j.1365-2486.2007.01451.x
